candidate_pair_id,cv_id,jd_id,candidate_bucket,llm_fit_score,llm_fit_category,llm_missing_requirements,llm_explanation,llm_model
cand_00563,resume_custom_04739,jd_custom_02734,hard_negative,81.0,strong fit,short missing item 1; short missing item 2,"The candidate has extensive experience in fast-paced casual restaurants, including management roles and catering services. They have a strong background in customer service, inventory management, and financial operations, which aligns with the requirements of Tommy's Subs. The candidate also has relevant experience working with vendors, insurance agencies, and local authorities, demonstrating their ability to navigate complex systems and processes.",llama3.2:1b
cand_00022,resume_custom_04316,jd_custom_00002,hard_negative,81.0,strong fit,experience with third-party libraries and APIs; experience working on both Responsive and Non-responsive websites,"The candidate has experience in Flutter app development, Android Native/IOS Native experience, and published apps on Playstore/Appstore. They have also worked on remote data via RESTful Services and third-party libraries. However, they lack experience with Google Play Services, Retrofit, Room, etc… and do not have a strong fluency of the Flutter, Dalvik VM, ART, memory management, security, IPC, third party service integration (e.g.Google Play Services, Retrofit, Room, etc…) and Android Studio.",llama3.2:1b
cand_00383,resume_custom_05664,jd_custom_02285,hard_negative,81.0,good fit,,"The candidate has relevant experience in environmental consulting and related fields, matching the job requirements. They also possess strong analytical, organizational, and communication skills, which are essential for this position.",llama3.2:1b
cand_00241,resume_custom_04012,jd_custom_02047,hard_negative,81.0,good fit,short missing item 1; short missing item 2,"The candidate has relevant experience in customer service and sales, but lacks specific skills like iQor's policies and procedures. The CV also mentions a 95-100% employee evaluation rating, indicating excellent performance, which is not mentioned in the job description.",llama3.2:1b
cand_00443,resume_custom_04062,jd_custom_02334,hard_negative,61.0,good fit,law degree,"The candidate has relevant experience in handling automobile and property claims, but lacks a law degree, which is a requirement for the position.",llama3.2:1b
cand_00722,resume_custom_05455,jd_custom_02812,hard_negative,81.0,strong fit,,"The candidate has a strong background in HR management, with experience leading teams and developing strategies for improving associate engagement and retention. They have also demonstrated proficiency in various Microsoft Office applications and have managed large-scale operations, including store payroll projections and direct reports.",llama3.2:1b
cand_00783,resume_custom_04214,jd_custom_03094,hard_negative,81.0,strong fit,,"The candidate has relevant experience in customer service, sales, and event coordination, which aligns with the job requirements. The CV also highlights their ability to work independently, lead teams, and manage multiple responsibilities, demonstrating a strong potential for success in this role.",llama3.2:1b
cand_00725,resume_custom_05525,jd_custom_02812,hard_negative,61.0,good fit,team building skills; problem solving experience,"The candidate has some relevant experience in HR management, but lacks specific knowledge of WMS applications and team building skills. They also have limited problem-solving experience and may not be able to drive change in a positive manner.",llama3.2:1b
cand_00025,resume_custom_01164,jd_custom_00002,hard_negative,81.0,strong fit,experience with Flutter development; knowledge of Android Studio/Visual studio/Xcode,"The candidate has a strong background in software development, particularly in Android and Flutter. They have experience working on multiple projects, including the Hangman game and Pac-Man game, which demonstrates their ability to design and implement complex applications. Their knowledge of Android Studio, Visual studio, Xcode, and Flutter is also impressive.",llama3.2:1b
cand_00405,resume_custom_02460,jd_custom_02332,hard_negative,81.0,strong fit,experience with Adobe Creative Suite; experience with Workfront,"The candidate has extensive experience in project management, IT, and creative industries. They have a strong understanding of project management tools like Workfront and Adobe Creative Suite. However, they lack direct experience in compliance and regulatory standards, which is a critical requirement for this role.",llama3.2:1b
cand_00801,resume_custom_05025,jd_custom_03095,hard_negative,81.0,strong fit,,"The candidate has a strong background in manufacturing, leadership, and quality management, with experience in various roles that align well with the job requirements. They have also demonstrated excellent problem-solving skills and a proven track record of improving processes and reducing costs.",llama3.2:1b
cand_00862,resume_custom_01957,jd_custom_03439,hard_negative,81.0,good fit,short missing item 1; short missing item 2,"The candidate has a strong background in IT, including experience as an electrician and network specialist. They have also worked with various software applications such as TeamViewer, Putty, and Help Desk Remote Support. However, they lack direct experience in the commercial trucking industry and may not have the necessary knowledge to perform tasks such as tire mounting and inflation. The candidate's strong work ethic and willingness to learn are notable strengths.",llama3.2:1b
cand_00942,resume_custom_02639,jd_custom_03666,hard_negative,81.0,strong fit,unrelated to the job requirements; no direct experience in liver cancer diagnostics,"The candidate has a strong background in biology, excellent communication and analytical skills, and is able to work on multiple different tasks independently. However, there are no specific mentions of relevant experience or education in liver cancer diagnostics, which may be a significant gap for this role.",llama3.2:1b
cand_00961,resume_custom_04863,jd_custom_03667,hard_negative,81.0,strong fit,"experience with Agile methodologies; comfortable with HTML5, CSS, and JavaScript prototyping experience","Tim has a strong background in UX design, human factors, and usability. He has worked on various projects, including innovative solutions for client needs, and has experience leading interaction designers and product development teams.",llama3.2:1b
cand_00263,resume_custom_05080,jd_custom_02048,hard_negative,81.0,strong fit,short missing item 1; short missing item 2,"The candidate has a strong background in mechanical maintenance, with experience in HVAC and electrical systems. They have also demonstrated leadership skills through their roles as Director of Engineering and Chief Engineer, showcasing their ability to oversee teams and make technical decisions. However, the candidate's lack of experience in hotel operations and customer service may be a significant gap in this role.",llama3.2:1b
cand_00885,resume_custom_05944,jd_custom_03440,hard_negative,61.0,good fit,short missing item 1; short missing item 2,"The candidate has some relevant experience in a bindery environment, but lacks specific skills and certifications required for the job. They also do not have any education or training in paper specifications or color printing, which are essential requirements for this position.",llama3.2:1b
cand_00765,resume_custom_05552,jd_custom_02895,hard_negative,81.0,good fit,,"The candidate has over 6 years of experience in HR roles, which matches the job requirements. They also have relevant skills and qualifications, such as recruitment process efficiency, employee performance evaluations, and data analysis. The only missing requirement is a Master's degree in Human Resource Management, but this can be demonstrated through successful completion of the pre-employment application process or new hire paperwork.",llama3.2:1b
